"","ALTM","BILDM","count","sectiorate"
"61",28,"3",10843,0.232500230563497
"62",28,"4",8368,0.2315965583174
"63",29,"1",3512,0.27875854214123
"64",29,"2",22158,0.26135030237386
"65",29,"3",10279,0.25119175017025
"66",29,"4",9923,0.236823541267762
"67",30,"1",3004,0.308588548601864
"68",30,"2",18933,0.271061110230814
"69",30,"3",9363,0.257716543842785
"70",30,"4",10881,0.26311919860307
"71",31,"1",2523,0.323424494649227
"72",31,"2",15990,0.288868042526579
"73",31,"3",8174,0.273672620504037
"74",31,"4",10804,0.269622362088116
"75",32,"1",2009,0.355400696864112
"76",32,"2",12601,0.312514879771447
"77",32,"3",6761,0.301878420352019
"78",32,"4",9823,0.29023719841189
"79",33,"1",1637,0.372632864996946
"80",33,"2",10118,0.331587270211504
"81",33,"3",5454,0.318665199853319
"82",33,"4",8458,0.311066445968314
"83",34,"1",1396,0.396131805157593
"84",34,"2",8161,0.354613405219949
"85",34,"3",4323,0.331020124913255
"86",34,"4",7241,0.333655572434747
"87",35,"1",1167,0.409597257926307
"88",35,"2",6586,0.373064075311266
"89",35,"3",3536,0.36566742081448
"90",35,"4",6077,0.345565246009544
"91",36,"1",918,0.433551198257081
"92",36,"2",4982,0.391609795262947
"93",36,"3",2822,0.394046775336641
"94",36,"4",5016,0.376993620414673
"95",37,"1",714,0.441176470588235
"96",37,"2",3808,0.413865546218487
"97",37,"3",2166,0.404432132963989
"98",37,"4",3812,0.387985309548793
"99",38,"1",519,0.445086705202312
"100",38,"2",2856,0.44187675070028
"101",38,"3",1530,0.438562091503268
"102",38,"4",2914,0.432052161976664
"103",39,"1",404,0.502475247524752
"104",39,"2",2051,0.45587518283764
"105",39,"3",1149,0.467362924281984
"106",39,"4",2128,0.450657894736842
"107",40,"1",305,0.491803278688525
"108",40,"2",1391,0.496764917325665
"109",40,"3",827,0.483675937122128
"110",40,"4",1624,0.49076354679803
"111",41,"1",159,0.547169811320755
"112",41,"2",857,0.520420070011669
"113",41,"3",456,0.517543859649123
"114",41,"4",960,0.507291666666667
"115",42,"1",94,0.595744680851064
"116",42,"2",497,0.545271629778672
"117",42,"3",287,0.557491289198606
"118",42,"4",599,0.552587646076795
"119",43,"1",66,0.651515151515151
"120",43,"2",249,0.63855421686747
"121",43,"3",130,0.484615384615385
"122",43,"4",322,0.58695652173913
"123",44,"1",31,0.709677419354839
"124",44,"2",133,0.62406015037594
"125",44,"3",88,0.647727272727273
"126",44,"4",137,0.591240875912409
"127",45,"1",12,0.75
"128",45,"2",54,0.759259259259259
"129",45,"3",32,0.75
"130",45,"4",83,0.674698795180723
"131",46,"1",7,0.571428571428571
"132",46,"2",25,0.8
"133",46,"3",14,0.785714285714286
"134",46,"4",43,0.767441860465116
"135",47,"1",6,0.833333333333333
"136",47,"2",13,0.923076923076923
"137",47,"3",8,0.5
"138",47,"4",31,0.67741935483871
"139",48,"1",2,1
"140",48,"2",6,1
"141",48,"3",4,1
"142",48,"4",11,0.909090909090909
"143",49,"1",4,1
"144",49,"2",4,0.75
"145",49,"3",4,1
"146",49,"4",15,1
"147",50,"1",2,1
"148",50,"2",2,0.5
"149",50,"3",3,1
"150",50,"4",8,0.875
"151",51,"2",1,1
"152",51,"3",1,1
"153",51,"4",5,1
"154",52,"1",1,1
"155",52,"2",2,1
"156",53,"1",1,1
"157",53,"4",3,1
"158",54,"1",1,1
"159",55,"1",1,1
"160",55,"4",3,1
"161",56,"1",1,1
"162",56,"4",1,1
"163",58,"4",1,1
