"","ALTM","BILDM","count","sectiorate"
"60",28,"2",55879,0.204441740188622
"61",28,"3",18975,0.200737812911726
"62",28,"4",12533,0.208090640708529
"63",29,"1",15888,0.200528700906344
"64",29,"2",54494,0.213895107718281
"65",29,"3",19369,0.21425989983995
"66",29,"4",15906,0.213567207343141
"67",30,"1",14810,0.215327481431465
"68",30,"2",50431,0.216930062858163
"69",30,"3",19226,0.222667221470925
"70",30,"4",18355,0.228166712067557
"71",31,"1",13483,0.223466587554699
"72",31,"2",46218,0.224934008394998
"73",31,"3",17947,0.230233465203098
"74",31,"4",19612,0.237558637568835
"75",32,"1",12111,0.229873668565767
"76",32,"2",40064,0.239541733226837
"77",32,"3",16190,0.241012970969734
"78",32,"4",19526,0.247772201167674
"79",33,"1",10693,0.235948751519686
"80",33,"2",34675,0.244758471521269
"81",33,"3",14046,0.258650149508757
"82",33,"4",18527,0.259890969935769
"83",34,"1",9462,0.239167195096174
"84",34,"2",29303,0.25925673139269
"85",34,"3",12072,0.265738899933731
"86",34,"4",16819,0.273856947499851
"87",35,"1",8085,0.26134817563389
"88",35,"2",24467,0.270691134998161
"89",35,"3",10031,0.289203469245339
"90",35,"4",15094,0.280773817410892
"91",36,"1",6948,0.263097294185377
"92",36,"2",19554,0.279431318400327
"93",36,"3",8055,0.294227188081937
"94",36,"4",12933,0.302559344312998
"95",37,"1",5532,0.274222704266088
"96",37,"2",15477,0.281902177424565
"97",37,"3",6388,0.319974953036944
"98",37,"4",10420,0.311612284069098
"99",38,"1",4338,0.278699861687414
"100",38,"2",11802,0.308337569903406
"101",38,"3",4914,0.327838827838828
"102",38,"4",8332,0.334853576572252
"103",39,"1",3449,0.278341548274862
"104",39,"2",8912,0.312612208258528
"105",39,"3",3537,0.351710489115069
"106",39,"4",6182,0.34859268845034
"107",40,"1",2516,0.302464228934817
"108",40,"2",6291,0.335717691940868
"109",40,"3",2610,0.355172413793103
"110",40,"4",4676,0.37617621899059
"111",41,"1",1638,0.30952380952381
"112",41,"2",3945,0.338403041825095
"113",41,"3",1547,0.367162249515191
"114",41,"4",2864,0.36627094972067
"115",42,"1",1089,0.306703397612489
"116",42,"2",2431,0.357466063348416
"117",42,"3",1008,0.380952380952381
"118",42,"4",1832,0.40174672489083
"119",43,"1",637,0.301412872841444
"120",43,"2",1324,0.350453172205438
"121",43,"3",532,0.347744360902256
"122",43,"4",1028,0.443579766536965
"123",44,"1",352,0.315340909090909
"124",44,"2",713,0.377279102384292
"125",44,"3",294,0.442176870748299
"126",44,"4",508,0.431102362204724
"127",45,"1",175,0.428571428571429
"128",45,"2",318,0.39622641509434
"129",45,"3",137,0.445255474452555
"130",45,"4",244,0.479508196721311
"131",46,"1",100,0.41
"132",46,"2",157,0.43312101910828
"133",46,"3",61,0.590163934426229
"134",46,"4",123,0.609756097560976
"135",47,"1",50,0.5
"136",47,"2",74,0.459459459459459
"137",47,"3",29,0.379310344827586
"138",47,"4",56,0.625
"139",48,"1",19,0.368421052631579
"140",48,"2",31,0.645161290322581
"141",48,"3",14,0.928571428571429
"142",48,"4",24,0.708333333333333
"143",49,"1",13,0.769230769230769
"144",49,"2",21,0.80952380952381
"145",49,"3",9,0.777777777777778
"146",49,"4",24,1
"147",50,"1",10,0.7
"148",50,"2",10,0.5
"149",50,"3",5,1
"150",50,"4",20,0.75
"151",51,"1",3,0.666666666666667
"152",51,"2",3,1
"153",51,"3",4,1
"154",51,"4",12,0.916666666666667
"155",52,"1",2,0.5
"156",52,"2",3,1
"157",52,"3",1,1
"158",52,"4",3,1
"159",53,"1",2,1
